Date,Adj Close
2021-01-04,20.100000381469727
2021-01-05,19.799999237060547
2021-01-06,20.100000381469727
2021-01-07,20.5
2021-01-08,21.399999618530273
2021-01-11,22.0
2021-01-12,22.899999618530273
2021-01-13,21.799999237060547
2021-01-14,21.799999237060547
2021-01-15,23.299999237060547
2021-01-19,30.600000381469727
2021-01-20,29.700000762939453
2021-01-21,29.799999237060547
2021-01-22,35.099998474121094
2021-01-25,44.20000076293945
2021-01-26,49.599998474121094
2021-01-27,199.0
2021-01-28,86.30000305175781
2021-01-29,132.60000610351562
2021-02-01,133.0
2021-02-02,78.19999694824219
2021-02-03,89.69999694824219
2021-02-04,70.9000015258789
2021-02-05,68.30000305175781
2021-02-08,61.79999923706055
2021-02-09,55.0
2021-02-10,58.0
2021-02-11,56.099998474121094
2021-02-12,55.900001525878906
2021-02-16,56.5
2021-02-17,55.5
2021-02-18,55.099998474121094
2021-02-19,57.0
2021-02-22,65.5
2021-02-23,77.0
2021-02-24,90.9000015258789
2021-02-25,82.9000015258789
2021-02-26,80.0999984741211
2021-03-01,91.80000305175781
2021-03-02,89.30000305175781
2021-03-03,85.80000305175781
2021-03-04,80.30000305175781
2021-03-05,80.5
2021-03-08,92.9000015258789
2021-03-09,105.0
2021-03-10,98.5
2021-03-11,102.80000305175781
2021-03-12,111.5999984741211
2021-03-15,140.39999389648438
2021-03-16,130.1999969482422
2021-03-17,135.60000610351562
2021-03-18,140.0
2021-03-19,139.3000030517578
2021-03-22,124.9000015258789
2021-03-23,106.5999984741211
2021-03-24,90.19999694824219
2021-03-25,109.4000015258789
2021-03-26,102.4000015258789
2021-03-29,103.5
2021-03-30,103.5
2021-03-31,102.0999984741211
2021-04-01,93.5999984741211
2021-04-05,106.0999984741211
2021-04-06,102.0
2021-04-07,98.5
2021-04-08,97.9000015258789
2021-04-09,94.19999694824219
2021-04-12,86.19999694824219
2021-04-13,88.4000015258789
2021-04-14,93.5
2021-04-15,99.0
2021-04-16,93.30000305175781
2021-04-19,96.5999984741211
2021-04-20,92.80000305175781
2021-04-21,97.80000305175781
2021-04-22,99.9000015258789
2021-04-23,101.5999984741211
2021-04-26,115.0
2021-04-27,114.5999984741211
2021-04-28,108.5
2021-04-29,102.0
2021-04-30,100.30000305175781
2021-05-03,97.0999984741211
2021-05-04,93.9000015258789
2021-05-05,91.69999694824219
2021-05-06,90.0
2021-05-07,95.0999984741211
2021-05-10,97.4000015258789
2021-05-11,100.5
2021-05-12,103.19999694824219
2021-05-13,127.69999694824219
2021-05-14,129.8000030517578
2021-05-17,139.5
2021-05-18,140.3000030517578
2021-05-19,126.4000015258789
2021-05-20,125.5
2021-05-21,120.80000305175781
2021-05-24,136.8000030517578
2021-05-25,164.10000610351562
2021-05-26,195.60000610351562
2021-05-27,265.20001220703125
2021-05-28,261.20001220703125
2021-06-01,320.3999938964844
2021-06-02,625.5
2021-06-03,513.4000244140625
2021-06-04,479.1000061035156
2021-06-07,550.0
2021-06-08,550.5
2021-06-09,493.3999938964844
2021-06-10,428.1000061035156
2021-06-11,494.0
2021-06-14,570.0
2021-06-15,590.4000244140625
